nct,drug,targets,cond,phase,n,why,llm_cat,futility,llm_conf
NCT04504032,RIVAROXABAN,F10,COVID-19,PHASE2,497,"Based on Data Monitoring Committee''s recommendation on 3 February 2021, the study was stopped on 4 February 2021 due to futility.",efficacy,True,high
NCT00979121,ROSUVASTATIN,HMGCR,Sepsis|Acute Lung Injury,PHASE3,745,stopped for futility,efficacy,True,high
NCT02928445,INTEPIRDINE,HTR6,Dementia With Lewy Bodies,PHASE2/PHASE3,240,Intepirdine did not meet its primary efficacy endpoints in the lead-in study RVT-101-2001.,efficacy,False,high
NCT04181762,SECUKINUMAB,IL17A,Lupus Nephritis,PHASE3,275,Study terminated by sponsor due to futility analysis,efficacy,True,high
NCT02508649,SELEPRESSIN,AVPR1A,Septic Shock,PHASE2/PHASE3,868,Terminated due to futility,efficacy,True,high
NCT03689244,SELEXIPAG,PTGIR,Chronic Thromboembolic Pulmonary Hypertension,PHASE3,128,"The study did not demonstrate efficacy on the primary endpoint, PVR vs. placebo at wk 20 at a planned interim analysis.",efficacy,True,high
NCT00120289,SIMVASTATIN,HMGCR,Cardiovascular Diseases|Heart Diseases|Cerebrovascular Accid,PHASE3,3414,AIM-HIGH was stopped on the recommendation of the DSMB because of lack of efficacy of niacin in preventing primary outcome events.,efficacy,True,high
NCT01057758,SIMVASTATIN,HMGCR,Pneumonia,PHASE3,300,stopped for futility,efficacy,True,high
NCT01061671,SIMVASTATIN,HMGCR,"Pulmonary Disease, Chronic Obstructive",PHASE3,885,Futility,efficacy,True,high
NCT01127633,SOLANEZUMAB,APP,Alzheimer's Disease,PHASE3,1457,Solanezumab did not meet the primary endpoint in study H8A-MC-LZAX.,efficacy,False,high
NCT01900665,SOLANEZUMAB,APP,Alzheimer's Disease,PHASE3,2129,Solanezumab did not meet the study's primary endpoint.,efficacy,False,high
NCT05163314,SOTICLESTAT,CYP46A1,Dravet Syndrome (DS)|Lennox Gastaut Syndrome (LGS),PHASE3,352,Due to negative results from phase 3 SKYLINE and SKYWAY studies and unrelated to patient safety it has been determined that supplementary data from TAK-935-3003 study is ,efficacy,False,high
NCT03635073,SOTICLESTAT,CYP46A1,Epilepsy|Dravet Syndrome (DS)|Lennox-Gastaut Syndrome (LGS),PHASE2,156,Due to negative results from phase 3 SKYLINE and SKYWAY studies and unrelated to patient safety it has been determined that supplementary data from TAK-935-18-001 study i,efficacy,False,high
NCT01436175,LISDEXAMFETAMINE DIMESYLATE,SLC18A2;SLC6A2;SLC6A3,Major Depressive Disorder,PHASE3,1570,SPD489 failed to demonstrate a benefit as adjunctive treatment to antidepressants. Termination was not related to any new safety findings.,efficacy,False,high
NCT02691182,MOLINDONE,DRD2;HTR2A,Attention Deficit Hyperactivity Disorder (ADHD),PHASE3,491,The program was shut down due to a lack of efficacy.,efficacy,False,high
NCT01337154,TAMIBAROTENE,RARA;RARB,Stage IIIB Non-small Cell Lung Cancer With Pleural Effusion|,PHASE2,140,Interim analysis showed that the primary endpoint would not be met.,efficacy,True,high
NCT02518971,TAMSULOSIN,ADRA1A;ADRA1B;ADRA1D,Postoperative Urinary Retention,PHASE3,176,interim analysis revealed no significant difference between study groups \& increased sample size required to gain significance.,efficacy,True,high
NCT02418572,TESTOSTERONE,AR,Infertility|Poor Ovarian Response,PHASE3,290,"Having reached the sample size described for the interim analysis and having seen the post-interim results, the sponsor has decided to stop the trial due to futility.",efficacy,True,high
NCT03567291,DEUTETRABENAZINE,SLC18A2,Tourette Syndrome,PHASE3,228,The parent trials did not meet the primary endpoints of reduction in motor and phonic tics.,efficacy,False,high
NCT03809663,TEZEPELUMAB,TSLP,Atopic Dermatitis,PHASE2,251,Tezepelumab as a monotherapy in atopic dermatitis did not reach the targeted efficacy level pre-established for this patient population.,efficacy,False,high
NCT03712787,TILAVONEMAB,MAPT,Alzheimer's Disease,PHASE2,364,Discontinued because of lack of efficacy in the parent study (Study M15-566; NCT02880956).,efficacy,False,high
NCT01209689,TOCILIZUMAB,IL6R,"Spondylitis, Ankylosing",PHASE3,113,Clinical development program terminated due to failure to achieve efficacy,efficacy,False,high
NCT01227512,TOLVAPTAN,AVPR2,Hyponatremia|Dilutional Hyponatremia|Inappropriate ADH Syndr,PHASE3,124,"Recruitment challenges and results of interim futility analysis, which showed less than likely to achieve primary endpoint goal-length of hospital stay.",efficacy,True,high
NCT00059202,URSODIOL,NR1H4,Primary Sclerosing Cholangitis,PHASE2/PHASE3,150,DSMB reviewed interim analysis and terminated the study due to futility.,efficacy,True,high
NCT03523728,VENGLUSTAT,UGCG,"Polycystic Kidney, Autosomal Dominant",PHASE2/PHASE3,478,Interim analysis for futility of the Stage 1 of the EFC15392 study met the protocol specified stopping rule based on the primary endpoint. EFC15392 study was stopped for ,efficacy,True,high
NCT02906020,VENGLUSTAT,UGCG,Parkinson's Disease,PHASE2,273,The topline results of the 52-week double-blind placebo-controlled period were analyzed. The study did not meet the primary or secondary endpoints. Based on these results,efficacy,False,high
NCT00354432,VENLAFAXINE,SLC6A2;SLC6A4,Hot Flashes|Prostate Cancer,PHASE3,120,Stopped by the DSMB for lack of effect per interim stopping rule.,efficacy,True,high
NCT00279422,VISILIZUMAB,CD3E,Ulcerative Colitis,PHASE2/PHASE3,127,"DMC recommendation, no efficacy",efficacy,True,high
NCT00464061,VOLINANSERIN,HTR2A,Sleep Initiation and Maintenance Disorders,PHASE3,1847,Sponsor's decision due to absence of demonstration of efficacy of volinanserin in primary insomnia with predominant sleep maintenance problems,efficacy,False,high
NCT01767857,BERMEKIMAB,IL1A,Metastatic Colorectal Cancer,PHASE3,643,The study crossed the prospective futility boundary of primary endpoint,efficacy,True,high
NCT03517566,ADRIFORANT,HRH4,Atopic Dermatitis,PHASE2,293,Lack of efficacy,efficacy,False,high
